"COU","Country","SOURCE","Source","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,6547.9,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2011","2011",,,"0","Units",,,6876.2,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2012","2012",,,"0","Units",,,6574.6,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2013","2013",,,"0","Units",,,6461.1,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2014","2014",,,"0","Units",,,6596.3,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2015","2015",,,"0","Units",,,6379.5,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2016","2016",,,"0","Units",,,6386.74,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2017","2017",,,"0","Units",,,5968.05,,
"POL","Poland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2018","2018",,,"0","Units",,,5729.758,,
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1980","1980",,,"0","Units",,,0,"E","Estimated value"
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1990","1990",,,"0","Units",,,0,,
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","1995","1995",,,"0","Units",,,0,"E","Estimated value"
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2000","2000",,,"0","Units",,,0,"E","Estimated value"
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2005","2005",,,"0","Units",,,0,"E","Estimated value"
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2010","2010",,,"0","Units",,,0,"B","Break"
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2011","2011",,,"0","Units",,,0,,
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2012","2012",,,"0","Units",,,0,,
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2013","2013",,,"0","Units",,,0,,
"ISL","Iceland","SURFACE","Fresh surface water","ELEC_COOL","Production of electricity (cooling only)","2014","2014",,,"0","Units",,,0,,
"LUX","Luxembourg","GROUND","Fresh ground water","COOL_IND","Manufacturing cooling","1990","1990",,,"0","Units",,,0,,
